track_id,track_name,artist,danceability,energy,valence,tempo,liveness,acousticness,instrumentalness
1,Neon Drive,ElectroWave,0.82,0.91,0.75,128.5,0.12,0.05,0
2,Golden Skies,Aurora,0.65,0.45,0.62,98.3,0.18,0.3,0.05
3,Deep Forest,ZenMode,0.4,0.32,0.22,75,0.15,0.8,0.6
4,Firestorm,Vexx,0.7,0.88,0.55,140.2,0.1,0.07,0.02
5,City Lights,Nocturne,0.58,0.63,0.48,110.4,0.22,0.25,0.1
6,Ocean Dreams,BlueMind,0.33,0.28,0.2,72.6,0.25,0.9,0.75
7,Sky Pulse,PulseShift,0.79,0.95,0.8,130.3,0.09,0.04,0.01
8,Calm Horizon,Sundaze,0.45,0.4,0.35,85,0.2,0.7,0.5
9,Midnight Run,NightDrive,0.68,0.84,0.7,122.8,0.14,0.1,0.03
10,Echoes,SynthSoul,0.52,0.57,0.49,108.2,0.17,0.4,0.07
